,text without stop words,words
10,"['Actelion', 'pharmaceuticals', 'biotechnology', 'company', 'established', 'December', '1997', 'headquartered', 'Allschwil', 'near', 'Basel', 'SwitzerlandActelion', 'focuses', 'manufacture', 'drugs', 'treat', 'rare', 'diseases', 'orphan', 'diseases', 'Some', 'drugs', 'produced', 'used', 'treat', 'patients', 'symptoms', 'related', 'central', 'nervous', 'system', 'disorders', 'irregular', 'heart', 'conditions', 'immune', 'system', 'disorders', 'cancer', 'One', 'focuses', 'Actelion', 'treating', 'individuals', 'Pulmonary', 'Arterial', 'Hypertension', '(', 'PAH', ')', 'heart', 'condition', 'leaves', 'patients', 'short', 'life', 'expectancy', '(', '7-9', 'years', ')', 'even', 'treatmentActelion', 'scientists', 'among', 'first', 'work', 'field', 'endothelian', 'receptor', 'antagonists', 'Actelion', 'initially', 'financed', 'venture', 'capital', 'provided', 'syndicate', 'including', 'Atlas', 'Venture', 'Sofinnova', 'HealthCapActelion', 'develops', 'sells', 'drugs', 'continents', 'Asia', 'Europe', 'North', 'South', 'America', 'Actelion', '29', 'operative', 'affiliates', 'around', 'world', 'including', 'United', 'States', 'Canada', 'Brazil', 'Australia', 'Japan', 'Switzerland', 'number', 'EU', 'countries', 'The', 'Swiss', 'affiliate', 'located', 'Baden', 'German', 'affiliate', 'Freiburg', 'Austrian', 'one', 'Vienna', 'French', 'one', 'Paris', 'UK', 'affiliate', 'located', 'LondonIn', '2006', 'company', 'established', 'Actelion', 'Endothelin', 'Research', 'Award', 'program', 'supports', 'selected', 'clinical', 'research', 'projectsIn', 'January', '2017', 'Johnson', '&', 'Johnson', 'announced', 'would', 'purchase', 'company', '$', '30', 'billion', 'Actelion', ""'s"", 'research', 'development', 'unit', 'would', 'also', 'spun', 'acquisition', 'The', 'new', 'company', 'Idorsia', 'created', 'former', 'Actelion', 'drug', 'discovery', 'operations', 'early-stage', 'clinical', 'development', 'assets', 'listed', 'June', '2017', 'SIX', 'Swiss', 'ExchangeIn', '2018', 'Johnson', '&', 'Johnson', 'announced', 'would', 'discontinue', 'development', 'one', 'phase', 'III', 'drugs', 'acquired', 'purchase', 'Actelion']",196
11,"['Adcock', 'Ingram', 'South', 'African', 'pharmaceutical', 'conglomerate', 'listed', 'Johannesburg', 'Stock', 'Exchange', 'Adcock', 'Ingram', 'manufactures', 'markets', 'healthcare', 'products', 'private', 'public', 'sectors', 'The', 'company', 'self-described', '``', 'Glaxo', 'South', 'Africa', ""''""]",27
12,"['Aderis', 'Pharmaceuticals', 'privately', 'held', 'pharmaceutical', 'company', 'based', 'Hopkinton', 'Massachusetts', 'It', 'founded', '1994', 'develop', 'commercialize', 'pharmaceuticals', 'It', 'best', 'known', 'development', 'Rotigotine', 'dopamine', 'agonist', 'made', 'treatment', 'Parkinson', ""'s"", 'disease']",27
13,"['Cubist', 'Pharmaceuticals', 'American', 'biopharmaceutical', 'company', 'targeted', 'pathogens', 'like', 'MRSA', 'The', 'company', 'employed', '638', 'people', 'mostly', 'Lexington', 'MA', 'On', '8', 'December', '2014', 'Merck', '&', 'Co', 'acquired', 'Cubist', '$', '102', 'per', 'share', 'cash', '(', '$', '84', 'billion', ')']",36
14,"['ACI', 'Advanced', 'Chemical', 'Industries', '(', 'DSE', ':', 'ACI', ')', 'one', 'largest', 'Bangladeshi', 'conglomerates', 'The', 'company', 'operates', 'three', 'reportable', 'segments', ':', 'Pharmaceuticals', 'Consumer', 'Brands', 'Agribusiness', 'ACI', 'established', 'subsidiary', 'Imperial', 'Chemical', 'Industries', '(', 'ICI', ')', '1968', 'It', 'incorporated', 'ICI', 'Bangladesh', 'Manufacturers', 'Limited', '24', 'January', '1973', 'The', 'company', 'renamed', 'Advanced', 'Chemical', 'Industries', 'Limited', '(', 'ACI', 'Limited', ')', '5', 'May', '1992', 'The', 'company', 'sold', 'insect', 'control', 'air', 'care', 'toilet', 'care', 'brands', 'SC', 'Johnson', '&', 'Son', '2015']",72
15,"['ADVANZ', 'PHARMA', 'Corp', 'multi-national', 'pharmaceutical', 'company', 'headquartered', 'London', 'It', 'changed', 'name', 'Concordia', 'Healthcare', 'Corp', 'November', '2018', 'The', 'company', 'focuses', 'number', 'therapy', 'areas', 'including', 'endocrinology', 'ophthalmology', 'urology', 'anti-infectives', 'pain', 'management', 'central', 'nervous', 'system', 'disorders', 'oncology', 'haematology', 'cardiology', 'intensive', 'care', 'medicine', 'The', 'company', 'also', 'focuses', 'acquiring', 'legacy', 'pharmaceutical', 'compounds', 'usually', 'patent', 'ADVANZ', 'PHARMA', 'global', 'pharmaceutical', 'company', 'operational', 'headquarters', 'London', 'UK', 'operations', 'centre', 'Mumbai', 'India', 'regional', 'hubs', 'Europe', 'Australia', 'US']",67
16,"['Advaxis', 'Inc', 'American', 'company', 'devoted', 'discovery', 'development', 'commercialization', 'immunotherapies', 'based', 'technology', 'platform', 'uses', 'engineered', 'Listeria', 'monocytogenes', '(', 'aka', 'Lm', ')', 'The', 'company', 'headquartered', 'Princeton', 'New', 'Jersey', 'incorporated', 'Delaware', '2006The', 'Lm-based', 'platform', 'company', ""'s"", 'products', 'based', 'involves', 'use', 'attenuated', 'Lm', 'secrete', 'antigen/adjuvant', 'fusion', 'proteins', 'stimulate', 'patient', ""'s"", 'immune', 'system', '(', 'specifically', 'T', 'cells', ')', 'mount', 'immune', 'response', 'secreted', 'antigen', ';', 'antigen', 'specifically', 'found', 'cancerous', 'cells', 'result', 'aims', 'effective', 'immune', 'response', 'targeting', 'eliminating', 'cancer', 'Treatments', 'developed', 'using', 'paradigm', 'referred', 'Lm-LLO', 'immunotherapiesToday', 'Company', 'fifteen', 'distinct', 'constructs', 'various', 'stages', 'development', 'directly', 'developed', 'Company', 'strategic', 'collaborations', 'recognized', 'centers', 'excellence', ':', 'National', 'Cancer', 'Institute', 'Cancer', 'Research', '–', 'UK', 'Wistar', 'Institute', 'University', 'Pennsylvania', 'Department', 'Homeland', 'Security', 'among', 'othersThe', 'Company', 'also', 'veterinary', 'medicine', 'program', 'evaluating', 'Lm-LLO', 'based', 'immunotherapy', 'Phase', '1', 'study', 'canine', 'osteosarcoma', 'Source', ':', 'wwwadvaxiscom']",128
17,"['Ajanta', 'Pharma', 'Limited', '(', 'APL', ')', 'multinational', 'company', 'based', 'India', 'engaged', 'development', 'manufacturing', 'marketing', 'pharmaceutical', 'formulations', 'It', 'presence', 'India', 'United', 'States', '30', 'countries', 'Africa', 'Asia', 'Middle', 'East', 'CIS', 'It', 'established', '1973']",31
18,"['Alcon', 'American-', 'Swiss', 'medical', 'company', 'specializing', 'eye', 'care', 'products', 'headquarters', 'Geneva', 'Switzerland', 'incorporated', 'Fribourg', 'Switzerland', 'Alcon', ""'s"", 'American', 'headquarters', 'located', 'Fort', 'Worth', 'Texas', 'Alcon', 'subsidiary', 'Novartis', 'April', '9', '2019', 'company', 'completed', 'shareholder', 'approved', '100', '%', 'spinoff', 'Alcon', 'eye', 'care', 'devices', 'business', 'Novartis']",42
19,"['Alembic', 'Pharmaceuticals', 'Ltd', 'Indian', 'multinational', 'pharmaceutical', 'company', 'headquartered', 'Vadodara', 'city', 'Gujarat', '–', 'India', 'Alembic', 'Pharmaceuticals', 'Ltd', 'involved', 'manufacture', 'pharmaceutical', 'products', 'pharmaceutical', 'substances', 'intermediates', 'It', 'also', 'termed', 'market', 'leader', 'macrolides', 'segment', 'anti-infective', 'drugs', 'IndiaThe', 'company', 'headquarters', 'Corporate', 'Office', 'situated', 'Vadodara', 'Gujarat', '–', 'India', 'manufacturing', 'facilities', 'located', 'Panelav', 'Karakhadi', 'Gujarat', 'Sikkim', 'India', 'Its', 'Panelav', 'plant', 'houses', 'active', 'pharmaceutical', 'ingredients', '(', 'APIs', ')', 'formulation', 'manufacturing', 'Sikkim', 'plant', 'involved', 'manufacture', 'formulations', 'Indian', 'non-regulated', 'export', 'markets']",71
